Region,Mun_City,Barangay,Bgy_Old names,"Urban / Rural
(based on 2020 CPH)",2020 Census Popn
Region I (Ilocos Region),Adams,Adams,,R,2189
Region I (Ilocos Region),Bacarra,Bani,,R,1079
Region I (Ilocos Region),Bacarra,Buyon,,R,1669
Region I (Ilocos Region),Bacarra,Cabaruan,,R,1418
Region I (Ilocos Region),Bacarra,Cabulalaan,,R,733
Region I (Ilocos Region),Bacarra,Cabusligan,,R,1170
Region I (Ilocos Region),Bacarra,Cadaratan,,R,1212
Region I (Ilocos Region),Bacarra,Calioet-Libong,,R,827
Region I (Ilocos Region),Bacarra,Casilian,,R,1061
Region I (Ilocos Region),Bacarra,Corocor,,R,867
Region I (Ilocos Region),Bacarra,Duripes,,R,1036
Region I (Ilocos Region),Bacarra,Ganagan,,R,701
Region I (Ilocos Region),Bacarra,Libtong,,R,1620
Region I (Ilocos Region),Bacarra,Macupit,,R,647
Region I (Ilocos Region),Bacarra,Nambaran,,R,1004
Region I (Ilocos Region),Bacarra,Natba,,R,560
Region I (Ilocos Region),Bacarra,Paninaan,,R,435
Region I (Ilocos Region),Bacarra,Pasiocan,,R,1209
Region I (Ilocos Region),Bacarra,Pasngal,,R,799
Region I (Ilocos Region),Bacarra,Pipias,,R,1047
Region I (Ilocos Region),Bacarra,Pulangi,,R,1091
Region I (Ilocos Region),Bacarra,Pungto,,R,554
Region I (Ilocos Region),Bacarra,San Agustin I ,,R,544
Region I (Ilocos Region),Bacarra,San Agustin II ,,R,281
Region I (Ilocos Region),Bacarra,San Andres I ,,R,796
Region I (Ilocos Region),Bacarra,San Andres II ,,R,724
Region I (Ilocos Region),Bacarra,San Gabriel I ,,R,294
Region I (Ilocos Region),Bacarra,San Gabriel II ,,R,406
Region I (Ilocos Region),Bacarra,San Pedro I ,,R,393
Region I (Ilocos Region),Bacarra,San Pedro II ,,R,585
Region I (Ilocos Region),Bacarra,San Roque I ,,R,530
Region I (Ilocos Region),Bacarra,San Roque II ,,R,399
Region I (Ilocos Region),Bacarra,San Simon I ,,R,637
Region I (Ilocos Region),Bacarra,San Simon II ,,R,341
Region I (Ilocos Region),Bacarra,San Vicente ,,R,723
Region I (Ilocos Region),Bacarra,Sangil,,R,1097
Region I (Ilocos Region),Bacarra,Santa Filomena I ,,R,276
Region I (Ilocos Region),Bacarra,Santa Filomena II ,,R,344
Region I (Ilocos Region),Bacarra,Santa Rita ,,R,1119
Region I (Ilocos Region),Bacarra,Santo Cristo I ,,R,422
Region I (Ilocos Region),Bacarra,Santo Cristo II ,,R,459
Region I (Ilocos Region),Bacarra,Tambidao,,R,813
Region I (Ilocos Region),Bacarra,Teppang,,R,706
Region I (Ilocos Region),Bacarra,Tubburan,,R,868
Region I (Ilocos Region),Badoc,Alay-Nangbabaan,Alay 15-B,R,1090
Region I (Ilocos Region),Badoc,Alogoog,,R,974
Region I (Ilocos Region),Badoc,Ar-arusip,,R,808
Region I (Ilocos Region),Badoc,Aring,,R,1362
Region I (Ilocos Region),Badoc,Balbaldez,,R,302
Region I (Ilocos Region),Badoc,Bato,,R,996
Region I (Ilocos Region),Badoc,Camanga,,R,1213
Region I (Ilocos Region),Badoc,Canaan ,,R,603
Region I (Ilocos Region),Badoc,Caraitan,,R,1391
Region I (Ilocos Region),Badoc,Gabut Norte,,R,1680
Region I (Ilocos Region),Badoc,Gabut Sur,,R,894
Region I (Ilocos Region),Badoc,Garreta ,,U,1383
Region I (Ilocos Region),Badoc,Labut,,R,848
Region I (Ilocos Region),Badoc,Lacuben,,R,1703
Region I (Ilocos Region),Badoc,Lubigan,,R,1381
Region I (Ilocos Region),Badoc,Mabusag Norte,,R,1125
Region I (Ilocos Region),Badoc,Mabusag Sur,,R,1135
Region I (Ilocos Region),Badoc,Madupayas,,R,848
Region I (Ilocos Region),Badoc,Morong,,R,892
Region I (Ilocos Region),Badoc,Nagrebcan,,R,528
Region I (Ilocos Region),Badoc,Napu,,R,1514
Region I (Ilocos Region),Badoc,La Virgen Milagrosa,Paguetpet,R,1095
Region I (Ilocos Region),Badoc,Pagsanahan Norte,,R,1170
Region I (Ilocos Region),Badoc,Pagsanahan Sur,,R,1412
Region I (Ilocos Region),Badoc,Paltit,,R,1589
Region I (Ilocos Region),Badoc,Parang,,R,438
Region I (Ilocos Region),Badoc,Pasuc,,R,505
Region I (Ilocos Region),Badoc,Santa Cruz Norte,,R,916
Region I (Ilocos Region),Badoc,Santa Cruz Sur,,R,702
Region I (Ilocos Region),Badoc,Saud,,R,1325
Region I (Ilocos Region),Badoc,Turod,,R,708
Region I (Ilocos Region),Bangui,Abaca,,R,1842
Region I (Ilocos Region),Bangui,Bacsil,,R,683
Region I (Ilocos Region),Bangui,Banban,,R,777
Region I (Ilocos Region),Bangui,Baruyen,,R,1742
Region I (Ilocos Region),Bangui,Dadaor,,R,405
Region I (Ilocos Region),Bangui,Lanao,,R,2017
Region I (Ilocos Region),Bangui,Malasin,,R,1028
Region I (Ilocos Region),Bangui,Manayon,,R,997
Region I (Ilocos Region),Bangui,Masikil,,R,649
Region I (Ilocos Region),Bangui,Nagbalagan,,R,707
Region I (Ilocos Region),Bangui,Payac,,R,781
Region I (Ilocos Region),Bangui,San Lorenzo ,,R,2261
Region I (Ilocos Region),Bangui,Taguiporo,,R,491
Region I (Ilocos Region),Bangui,Utol,,R,639
Region I (Ilocos Region),City of Batac,Aglipay ,,R,1059
Region I (Ilocos Region),City of Batac,Baay,,R,3241
Region I (Ilocos Region),City of Batac,Baligat,,R,1923
Region I (Ilocos Region),City of Batac,Bungon,,R,1546
Region I (Ilocos Region),City of Batac,Baoa East,,R,747
Region I (Ilocos Region),City of Batac,Baoa West,,R,1404
Region I (Ilocos Region),City of Batac,Barani ,,R,636
Region I (Ilocos Region),City of Batac,Ben-agan ,,R,714
Region I (Ilocos Region),City of Batac,Bil-loca,,R,2780
Region I (Ilocos Region),City of Batac,Biningan,,R,468
Region I (Ilocos Region),City of Batac,Callaguip ,,U,832
Region I (Ilocos Region),City of Batac,Camandingan,,R,1506
Region I (Ilocos Region),City of Batac,Camguidan,,R,522
Region I (Ilocos Region),City of Batac,Cangrunaan ,,R,721
Region I (Ilocos Region),City of Batac,Capacuan,,R,727
Region I (Ilocos Region),City of Batac,Caunayan ,,U,1105
Region I (Ilocos Region),City of Batac,Valdez Pob.,Caoayan,R,808
Region I (Ilocos Region),City of Batac,Colo,,R,1432
Region I (Ilocos Region),City of Batac,Pimentel,Cubol,R,1166
Region I (Ilocos Region),City of Batac,Dariwdiw,,R,2053
Region I (Ilocos Region),City of Batac,Acosta Pob.,Iloilo,R,1058
Region I (Ilocos Region),City of Batac,Ablan Pob., Labucao,R,740
Region I (Ilocos Region),City of Batac,Lacub ,,U,422
Region I (Ilocos Region),City of Batac,Mabaleng,,R,1162
Region I (Ilocos Region),City of Batac,Magnuang,,R,2196
Region I (Ilocos Region),City of Batac,Maipalig,,R,456
Region I (Ilocos Region),City of Batac,Nagbacalan,,R,1085
Region I (Ilocos Region),City of Batac,Naguirangan,,R,1615
Region I (Ilocos Region),City of Batac,Ricarte Pob.,Nalasin,U,765
Region I (Ilocos Region),City of Batac,Palongpong,,R,1867
Region I (Ilocos Region),City of Batac,Palpalicong ,,R,828
Region I (Ilocos Region),City of Batac,Parangopong,,R,1253
Region I (Ilocos Region),City of Batac,Payao,,R,1457
Region I (Ilocos Region),City of Batac,Quiling Norte,,R,1528
Region I (Ilocos Region),City of Batac,Quiling Sur,,R,3267
Region I (Ilocos Region),City of Batac,Quiom,,R,884
Region I (Ilocos Region),City of Batac,Rayuray,,R,1062
Region I (Ilocos Region),City of Batac,San Julian ,,R,465
Region I (Ilocos Region),City of Batac,San Mateo,,R,1135
Region I (Ilocos Region),City of Batac,San Pedro,,R,898
Region I (Ilocos Region),City of Batac,Suabit ,,U,1209
Region I (Ilocos Region),City of Batac,Sumader,,R,1387
Region I (Ilocos Region),City of Batac,Tabug,,R,3355
Region I (Ilocos Region),Burgos,Ablan Sarat,,R,1518
Region I (Ilocos Region),Burgos,Agaga,,R,609
Region I (Ilocos Region),Burgos,Bayog,,R,773
Region I (Ilocos Region),Burgos,Bobon,,R,1482
Region I (Ilocos Region),Burgos,Buduan,Malituek,R,940
Region I (Ilocos Region),Burgos,Nagsurot,,R,902
Region I (Ilocos Region),Burgos,Paayas,,R,869
Region I (Ilocos Region),Burgos,Pagali,,R,776
Region I (Ilocos Region),Burgos,Poblacion,,R,1468
Region I (Ilocos Region),Burgos,Saoit,,R,739
Region I (Ilocos Region),Burgos,Tanap,,R,683
Region I (Ilocos Region),Carasi,Angset,,R,176
Region I (Ilocos Region),Carasi,Barbaqueso ,,R,812
Region I (Ilocos Region),Carasi,Virbira,,R,619
Region I (Ilocos Region),Currimao,Anggapang Norte,,R,319
Region I (Ilocos Region),Currimao,Anggapang Sur,,R,183
Region I (Ilocos Region),Currimao,Bimmanga,,R,342
Region I (Ilocos Region),Currimao,Cabuusan,,R,327
Region I (Ilocos Region),Currimao,Comcomloong,,R,124
Region I (Ilocos Region),Currimao,Gaang,,R,1287
Region I (Ilocos Region),Currimao,Lang-ayan-Baramban,,R,531
Region I (Ilocos Region),Currimao,Lioes,,R,479
Region I (Ilocos Region),Currimao,Maglaoi Centro,,R,229
Region I (Ilocos Region),Currimao,Maglaoi Norte,,R,658
Region I (Ilocos Region),Currimao,Maglaoi Sur,,R,543
Region I (Ilocos Region),Currimao,Paguludan-Salindeg,,R,296
Region I (Ilocos Region),Currimao,Pangil,,R,541
Region I (Ilocos Region),Currimao,Pias Norte,,R,932
Region I (Ilocos Region),Currimao,Pias Sur,,R,778
Region I (Ilocos Region),Currimao,Poblacion I,,R,673
Region I (Ilocos Region),Currimao,Poblacion II,,R,564
Region I (Ilocos Region),Currimao,Salugan,,R,586
Region I (Ilocos Region),Currimao,San Simeon,,R,284
Region I (Ilocos Region),Currimao,Santa Cruz,,R,356
Region I (Ilocos Region),Currimao,Tapao-Tigue,,R,874
Region I (Ilocos Region),Currimao,Torre,,R,410
Region I (Ilocos Region),Currimao,Victoria,,R,899
Region I (Ilocos Region),Dingras,Albano ,,R,871
Region I (Ilocos Region),Dingras,Bacsil,,R,878
Region I (Ilocos Region),Dingras,Bagut,,R,1062
Region I (Ilocos Region),Dingras,Parado,Bangay,R,1563
Region I (Ilocos Region),Dingras,Baresbes,,R,2036
Region I (Ilocos Region),Dingras,Barong,,R,2468
Region I (Ilocos Region),Dingras,Bungcag,,R,578
Region I (Ilocos Region),Dingras,Cali,,R,1343
Region I (Ilocos Region),Dingras,Capasan,,R,732
Region I (Ilocos Region),Dingras,Dancel ,,R,654
Region I (Ilocos Region),Dingras,Foz,,R,915
Region I (Ilocos Region),Dingras,Guerrero ,,R,1496
Region I (Ilocos Region),Dingras,Lanas,,R,1062
Region I (Ilocos Region),Dingras,Lumbad,,R,1079
Region I (Ilocos Region),Dingras,Madamba ,,R,1961
Region I (Ilocos Region),Dingras,Mandaloque,,R,647
Region I (Ilocos Region),Dingras,Medina,,R,1298
Region I (Ilocos Region),Dingras,Ver,Naglayaan,R,1223
Region I (Ilocos Region),Dingras,San Marcelino,Padong,R,4053
Region I (Ilocos Region),Dingras,Puruganan ,,R,868
Region I (Ilocos Region),Dingras,Peralta ,,R,1340
Region I (Ilocos Region),Dingras,Root,Baldias,R,807
Region I (Ilocos Region),Dingras,Sagpatan,,R,846
Region I (Ilocos Region),Dingras,Saludares,,R,1473
Region I (Ilocos Region),Dingras,San Esteban,,R,831
Region I (Ilocos Region),Dingras,Espiritu,,R,1030
Region I (Ilocos Region),Dingras,Sulquiano,Sidiran,R,1478
Region I (Ilocos Region),Dingras,San Francisco,Surrate,R,2304
Region I (Ilocos Region),Dingras,Suyo,,U,1404
Region I (Ilocos Region),Dingras,San Marcos,,R,741
Region I (Ilocos Region),Dingras,Elizabeth,,R,1086
Region I (Ilocos Region),Dumalneg,Cabaritan,Dumalneg,R,448
Region I (Ilocos Region),Dumalneg,San Isidro,,R,1026
Region I (Ilocos Region),Dumalneg,Kalaw,Dumalneg,R,644
Region I (Ilocos Region),Dumalneg,Quibel,Dumalneg,R,969
Region I (Ilocos Region),Banna,Balioeg,,R,844
Region I (Ilocos Region),Banna,Bangsar,,R,874
Region I (Ilocos Region),Banna,Barbarangay,,R,819
Region I (Ilocos Region),Banna,Bomitog,,R,1276
Region I (Ilocos Region),Banna,Bugasi,,R,945
Region I (Ilocos Region),Banna,Caestebanan,,R,836
Region I (Ilocos Region),Banna,Caribquib,,R,1055
Region I (Ilocos Region),Banna,Catagtaguen,,R,1318
Region I (Ilocos Region),Banna,Crispina,,R,955
Region I (Ilocos Region),Banna,Hilario ,,R,951
Region I (Ilocos Region),Banna,Imelda,,R,613
Region I (Ilocos Region),Banna,Lorenzo ,,R,746
Region I (Ilocos Region),Banna,Macayepyep,,R,1054
Region I (Ilocos Region),Banna,Marcos ,,R,1048
Region I (Ilocos Region),Banna,Nagpatayan,,R,902
Region I (Ilocos Region),Banna,Valdez,,R,1061
Region I (Ilocos Region),Banna,Sinamar,,R,1205
Region I (Ilocos Region),Banna,Tabtabagan,,R,1148
Region I (Ilocos Region),Banna,Valenciano ,,R,694
Region I (Ilocos Region),Banna,Binacag,,R,953
Region I (Ilocos Region),City of Laoag ,"Bgy. No. 42, Apaya",,R,953
Region I (Ilocos Region),City of Laoag ,"Bgy. No. 36, Araniw",,R,958
Region I (Ilocos Region),City of Laoag ,"Bgy. No. 56-A, Bacsil North",,R,893
Region I (Ilocos Region),City of Laoag ,"Bgy. No. 56-B, Bacsil South",,R,1346
Region I (Ilocos Region),City of Laoag ,"Bgy. No. 41, Balacad",,U,1595
Region I (Ilocos Region),City of Laoag ,"Bgy. No. 40, Balatong",,U,2674
Region I (Ilocos Region),City of Laoag ,"Bgy. No. 55-A, Barit-Pandan",,U,2311
Region I (Ilocos Region),City of Laoag ,"Bgy. No. 47, Bengcag",,U,1916
Region I (Ilocos Region),City of Laoag ,"Bgy. No. 50, Buttong",,U,2764
Region I (Ilocos Region),City of Laoag ,"Bgy. No. 60-A, Caaoacan",,R,1331
Region I (Ilocos Region),City of Laoag ,"Bry. No. 48-A, Cabungaan North",,R,2058
Region I (Ilocos Region),City of Laoag ,"Bgy. No. 48-B, Cabungaan South",,R,1296
Region I (Ilocos Region),City of Laoag ,"Bgy. No. 37, Calayab",,U,2103
Region I (Ilocos Region),City of Laoag ,"Bgy. No. 54-B, Camangaan",,R,1006
Region I (Ilocos Region),City of Laoag ,"Bgy. No. 58, Casili",,R,993
Region I (Ilocos Region),City of Laoag ,"Bgy. No. 61, Cataban",,R,766
Region I (Ilocos Region),City of Laoag ,"Bgy. No. 43, Cavit",,R,1140
Region I (Ilocos Region),City of Laoag ,"Bgy. No. 49-A, Darayday",,R,960
Region I (Ilocos Region),City of Laoag ,"Bgy. No. 59-B, Dibua North",,R,881
Region I (Ilocos Region),City of Laoag ,"Bgy. No. 59-A, Dibua South",,R,1105
Region I (Ilocos Region),City of Laoag ,"Bgy. No. 34-B, Gabu Norte East",,R,1321
Region I (Ilocos Region),City of Laoag ,"Bgy. No. 34-A, Gabu Norte West",,R,581
Region I (Ilocos Region),City of Laoag ,"Bgy. No. 35, Gabu Sur",,R,1815
Region I (Ilocos Region),City of Laoag ,Bgy. No. 32-C La Paz East,,R,1499
Region I (Ilocos Region),City of Laoag ,"Bgy. No. 33-B, La Paz Proper",,R,1127
Region I (Ilocos Region),City of Laoag ,"Bgy. No. 32-B, La Paz West",,R,1099
Region I (Ilocos Region),City of Laoag ,"Bgy. No. 54-A, Lagui-Sail",,R,2367
Region I (Ilocos Region),City of Laoag ,"Bgy. No. 32-A, La Paz East",,R,1395
Region I (Ilocos Region),City of Laoag ,"Bgy. No. 33-A, La Paz Proper",,R,1195
Region I (Ilocos Region),City of Laoag ,"Bgy. No. 52-B, Lataag",,R,873
Region I (Ilocos Region),City of Laoag ,"Bgy. No. 60-B, Madiladig",,R,1653
Region I (Ilocos Region),City of Laoag ,"Bgy. No. 38-A, Mangato East",,R,1174
Region I (Ilocos Region),City of Laoag ,"Bgy. No. 38-B, Mangato West",,R,1226
Region I (Ilocos Region),City of Laoag ,"Bgy. No. 62-A, Navotas North",,R,854
Region I (Ilocos Region),City of Laoag ,"Bgy. No. 62-B, Navotas South",,R,1021
Region I (Ilocos Region),City of Laoag ,"Bgy. No. 46, Nalbo",,U,2484
Region I (Ilocos Region),City of Laoag ,"Bgy. No. 51-A, Nangalisan East",,U,1713
Region I (Ilocos Region),City of Laoag ,"Bgy. No. 51-B, Nangalisan West",,R,785
Region I (Ilocos Region),City of Laoag ,"Bgy. No. 24, Nstra. Sra. De Consolacion ",,R,1074
Region I (Ilocos Region),City of Laoag ,"Bgy. No. 7-A, Nstra. Sra. De Natividad ",,R,913
Region I (Ilocos Region),City of Laoag ,"Bgy. No. 7-B, Nstra. Sra. De Natividad ",,R,827
Region I (Ilocos Region),City of Laoag ,"Bgy. No. 27, Nstra. Sra. De Soledad ",,R,1660
Region I (Ilocos Region),City of Laoag ,"Bgy. No. 13, Nstra. Sra. De Visitacion ",,U,1460
Region I (Ilocos Region),City of Laoag ,"Bgy. No. 3, Nstra. Sra. Del Rosario ",,R,1011
Region I (Ilocos Region),City of Laoag ,"Bgy. No. 57, Pila",,R,1960
Region I (Ilocos Region),City of Laoag ,"Bgy. No. 49-B, Raraburan",,R,1631
Region I (Ilocos Region),City of Laoag ,"Bgy. No. 53, Rioeng",,U,1678
Region I (Ilocos Region),City of Laoag ,"Bgy. No. 55-B, Salet-Bulangon",,R,2626
Region I (Ilocos Region),City of Laoag ,"Bgy. No. 6, San Agustin ",,U,1267
Region I (Ilocos Region),City of Laoag ,"Bgy. No. 22, San Andres ",,R,1063
Region I (Ilocos Region),City of Laoag ,"Bgy. No. 28, San Bernardo ",,R,1549
Region I (Ilocos Region),City of Laoag ,"Bgy. No. 17, San Francisco ",,U,719
Region I (Ilocos Region),City of Laoag ,"Bgy. No. 4, San Guillermo ",,R,1190
Region I (Ilocos Region),City of Laoag ,"Bgy. No. 15, San Guillermo ",,U,1039
Region I (Ilocos Region),City of Laoag ,"Bgy. No. 12, San Isidro ",,U,1890
Region I (Ilocos Region),City of Laoag ,"Bgy. No. 16, San Jacinto ",,U,1026
Region I (Ilocos Region),City of Laoag ,"Bgy. No. 10, San Jose ",,U,970
Region I (Ilocos Region),City of Laoag ,"Bgy. No. 1, San Lorenzo ",,U,5458
Region I (Ilocos Region),City of Laoag ,"Bgy. No. 26, San Marcelino ",,R,856
Region I (Ilocos Region),City of Laoag ,"Bgy. No. 52-A, San Mateo",,R,582
Region I (Ilocos Region),City of Laoag ,"Bgy. No. 23, San Matias ",,U,3014
Region I (Ilocos Region),City of Laoag ,"Bgy. No. 20, San Miguel ",,R,955
Region I (Ilocos Region),City of Laoag ,"Bgy. No. 21, San Pedro ",,R,1262
Region I (Ilocos Region),City of Laoag ,"Bgy. No. 5, San Pedro ",,R,1383
Region I (Ilocos Region),City of Laoag ,"Bry. No. 18, San Quirino ",,R,732
Region I (Ilocos Region),City of Laoag ,"Bgy. No. 8, San Vicente ",,U,878
Region I (Ilocos Region),City of Laoag ,"Bgy. No. 9, Santa Angela ",,U,598
Region I (Ilocos Region),City of Laoag ,"Bgy. No. 11, Santa Balbina ",,U,881
Region I (Ilocos Region),City of Laoag ,"Bgy. No. 25, Santa Cayetana ",,R,1144
Region I (Ilocos Region),City of Laoag ,"Bgy. No. 2, Santa Joaquina ",,U,2501
Region I (Ilocos Region),City of Laoag ,"Bgy. No. 19, Santa Marcela ",,U,885
Region I (Ilocos Region),City of Laoag ,"Bgy. No. 30-B, Santa Maria",,R,1571
Region I (Ilocos Region),City of Laoag ,"Bgy. No. 39, Santa Rosa",,R,792
Region I (Ilocos Region),City of Laoag ,"Bgy. No. 14, Santo Tomas ",,U,1041
Region I (Ilocos Region),City of Laoag ,"Bgy. No. 29, Santo Tomas ",,R,1458
Region I (Ilocos Region),City of Laoag ,"Bgy. No. 30-A, Suyo",,R,708
Region I (Ilocos Region),City of Laoag ,"Bgy. No. 31, Talingaan",,R,1626
Region I (Ilocos Region),City of Laoag ,"Bgy. No. 45, Tangid",,R,1061
Region I (Ilocos Region),City of Laoag ,"Bgy. No. 55-C, Vira",,R,1460
Region I (Ilocos Region),City of Laoag ,"Bgy. No. 44, Zamboanga",,R,2021
Region I (Ilocos Region),Marcos,Pacifico,Agunit,R,1843
Region I (Ilocos Region),Marcos,Imelda,Capariaan,R,874
Region I (Ilocos Region),Marcos,Elizabeth,Culao,R,1307
Region I (Ilocos Region),Marcos,Daquioag,,R,1768
Region I (Ilocos Region),Marcos,Escoda,,R,2064
Region I (Ilocos Region),Marcos,Ferdinand,,R,965
Region I (Ilocos Region),Marcos,Fortuna,,R,1111
Region I (Ilocos Region),Marcos,Lydia ,,R,2264
Region I (Ilocos Region),Marcos,Mabuti,,R,1121
Region I (Ilocos Region),Marcos,Valdez,Biding,R,1083
Region I (Ilocos Region),Marcos,Tabucbuc,Ragas,R,1692
Region I (Ilocos Region),Marcos,Santiago,,R,1510
Region I (Ilocos Region),Marcos,Cacafean,,R,408
Region I (Ilocos Region),Nueva Era,Acnam,,R,767
Region I (Ilocos Region),Nueva Era,Barangobong,,R,443
Region I (Ilocos Region),Nueva Era,Barikir,,R,681
Region I (Ilocos Region),Nueva Era,Bugayong,,R,940
Region I (Ilocos Region),Nueva Era,Cabittauran,,R,1075
Region I (Ilocos Region),Nueva Era,Caray,,R,824
Region I (Ilocos Region),Nueva Era,Garnaden,,R,711
Region I (Ilocos Region),Nueva Era,Naguillan,Pagpag-ong,R,1043
Region I (Ilocos Region),Nueva Era,Poblacion,,R,3206
Region I (Ilocos Region),Nueva Era,Santo Niño,,R,1184
Region I (Ilocos Region),Nueva Era,Uguis,,R,1094
Region I (Ilocos Region),Pagudpud,Aggasi,,R,725
Region I (Ilocos Region),Pagudpud,Baduang,,R,1131
Region I (Ilocos Region),Pagudpud,Balaoi,,U,1980
Region I (Ilocos Region),Pagudpud,Burayoc,,R,1461
Region I (Ilocos Region),Pagudpud,Caunayan,,R,1529
Region I (Ilocos Region),Pagudpud,Dampig,,R,1025
Region I (Ilocos Region),Pagudpud,Ligaya,,R,1057
Region I (Ilocos Region),Pagudpud,Pancian,,R,2398
Region I (Ilocos Region),Pagudpud,Pasaleng,,R,1793
Region I (Ilocos Region),Pagudpud,Poblacion 1,,R,2669
Region I (Ilocos Region),Pagudpud,Poblacion 2,,U,3258
Region I (Ilocos Region),Pagudpud,Saguigui,,R,903
Region I (Ilocos Region),Pagudpud,Saud,,R,1467
Region I (Ilocos Region),Pagudpud,Subec,,R,1832
Region I (Ilocos Region),Pagudpud,Tarrag,,R,940
Region I (Ilocos Region),Pagudpud,Caparispisan,,R,930
Region I (Ilocos Region),Paoay,Bacsil,,R,703
Region I (Ilocos Region),Paoay,Cabagoan,,R,453
Region I (Ilocos Region),Paoay,Cabangaran,,R,375
Region I (Ilocos Region),Paoay,Callaguip,,R,2019
Region I (Ilocos Region),Paoay,Cayubog,,R,590
Region I (Ilocos Region),Paoay,Dolores,,R,419
Region I (Ilocos Region),Paoay,Laoa,,R,355
Region I (Ilocos Region),Paoay,Masintoc,,R,654
Region I (Ilocos Region),Paoay,Monte,,R,737
Region I (Ilocos Region),Paoay,Mumulaan,,R,873
Region I (Ilocos Region),Paoay,Nagbacalan,,R,3194
Region I (Ilocos Region),Paoay,Nalasin,,R,1378
Region I (Ilocos Region),Paoay,Nanguyudan,,R,602
Region I (Ilocos Region),Paoay,Oaig-Upay-Abulao,,R,744
Region I (Ilocos Region),Paoay,Pambaran,,R,189
Region I (Ilocos Region),Paoay,Pannaratan ,,R,241
Region I (Ilocos Region),Paoay,Paratong,,R,1115
Region I (Ilocos Region),Paoay,Pasil,,R,1039
Region I (Ilocos Region),Paoay,Salbang ,,R,714
Region I (Ilocos Region),Paoay,San Agustin,,R,1029
Region I (Ilocos Region),Paoay,San Blas ,,R,234
Region I (Ilocos Region),Paoay,San Juan,,R,222
Region I (Ilocos Region),Paoay,San Pedro,,R,592
Region I (Ilocos Region),Paoay,San Roque ,,R,1101
Region I (Ilocos Region),Paoay,Sangladan Pob.,Nalbuan,R,383
Region I (Ilocos Region),Paoay,Santa Rita ,,R,838
Region I (Ilocos Region),Paoay,Sideg,,R,459
Region I (Ilocos Region),Paoay,Suba,,U,1512
Region I (Ilocos Region),Paoay,Sungadan,,R,1181
Region I (Ilocos Region),Paoay,Surgui,,R,805
Region I (Ilocos Region),Paoay,Veronica,,R,251
Region I (Ilocos Region),Pasuquin,Batuli,,R,452
Region I (Ilocos Region),Pasuquin,Binsang,,R,972
Region I (Ilocos Region),Pasuquin,Nalvo,Cababaan-Nalvo,R,591
Region I (Ilocos Region),Pasuquin,Caruan,,R,1429
Region I (Ilocos Region),Pasuquin,Carusikis,,R,819
Region I (Ilocos Region),Pasuquin,Carusipan,,R,459
Region I (Ilocos Region),Pasuquin,Dadaeman,,R,322
Region I (Ilocos Region),Pasuquin,Darupidip,,R,287
Region I (Ilocos Region),Pasuquin,Davila,,R,3989
Region I (Ilocos Region),Pasuquin,Dilanis,,R,452
Region I (Ilocos Region),Pasuquin,Dilavo,,R,641
Region I (Ilocos Region),Pasuquin,Estancia,,R,1117
Region I (Ilocos Region),Pasuquin,Naglicuan,,R,1750
Region I (Ilocos Region),Pasuquin,Nagsanga,,R,1335
Region I (Ilocos Region),Pasuquin,Ngabangab,,R,693
Region I (Ilocos Region),Pasuquin,Pangil,,R,392
Region I (Ilocos Region),Pasuquin,Poblacion 1,,R,1051
Region I (Ilocos Region),Pasuquin,Poblacion 2,,R,1821
Region I (Ilocos Region),Pasuquin,Poblacion 3,,R,934
Region I (Ilocos Region),Pasuquin,Poblacion 4,,R,1471
Region I (Ilocos Region),Pasuquin,Pragata,Pragata-Bungro,R,606
Region I (Ilocos Region),Pasuquin,Puyupuyan,,R,871
Region I (Ilocos Region),Pasuquin,Sulongan,,R,492
Region I (Ilocos Region),Pasuquin,Salpad,,R,665
Region I (Ilocos Region),Pasuquin,San Juan,,R,1605
Region I (Ilocos Region),Pasuquin,Santa Catalina,,R,847
Region I (Ilocos Region),Pasuquin,Santa Matilde,,R,421
Region I (Ilocos Region),Pasuquin,Sapat,,R,69
Region I (Ilocos Region),Pasuquin,Sulbec,,R,916
Region I (Ilocos Region),Pasuquin,Surong,,R,340
Region I (Ilocos Region),Pasuquin,Susugaen,,R,1319
Region I (Ilocos Region),Pasuquin,Tabungao,,R,161
Region I (Ilocos Region),Pasuquin,Tadao,,R,389
Region I (Ilocos Region),Piddig,Ab-abut,,R,462
Region I (Ilocos Region),Piddig,Abucay,,R,1635
Region I (Ilocos Region),Piddig,Anao ,,R,1234
Region I (Ilocos Region),Piddig,Arua-ay,,R,382
Region I (Ilocos Region),Piddig,Bimmanga,,R,307
Region I (Ilocos Region),Piddig,Boyboy,,R,1665
Region I (Ilocos Region),Piddig,Cabaroan ,,R,960
Region I (Ilocos Region),Piddig,Calambeg,,R,1331
Region I (Ilocos Region),Piddig,Callusa,,R,682
Region I (Ilocos Region),Piddig,Dupitac,,R,765
Region I (Ilocos Region),Piddig,Estancia,,R,1825
Region I (Ilocos Region),Piddig,Gayamat,,R,644
Region I (Ilocos Region),Piddig,Lagandit,,R,657
Region I (Ilocos Region),Piddig,Libnaoan,,R,688
Region I (Ilocos Region),Piddig,Loing ,,R,1575
Region I (Ilocos Region),Piddig,Maab-abaca,,R,497
Region I (Ilocos Region),Piddig,Mangitayag,,R,671
Region I (Ilocos Region),Piddig,Maruaya,,R,907
Region I (Ilocos Region),Piddig,San Antonio,,R,706
Region I (Ilocos Region),Piddig,Santa Maria,,R,1510
